HolderAddress,amount
0x40abb61c23c96670ae5c79a3c81e1c869051721f,250637
0x309136875eca0c8b3b0f85a6b3c70732cf25d1f1,250637
0xa80fc2000f51fdd071cd801c2e51db8b870318d6,250637
0x2995ee4473d0a71c4d1eb83e7a4d561a2df76f1a,250637
0x8f76300da80ef04f1cd4767f9d3c1b70f22e2c96,250637
0xed099be551c4e219ae36aa8a67008088788b0e6f,250637
0x1fd2978ac57fb2f459ef1ab7812b58f29ab437ba,250637
0x1d2787e94556aa4c3a8efacbc11ee4a116880603,250637
0x08607c40e0fb089d370e818a182ea0831afb666c,250637
0x0f87d6c83066a530163eec821e499791324ce4a9,250637
0x7597f55ef7f0250006b438ce3981405f7e89f469,250637
0x264ad196b806704376f567d810d5c72ecf8f2d42,250637
0xd26a30298ab98ab7dee48ceb090d18ef678d9b03,250637
0x0ed077884b8dfcbe10e7a58fe298050de2b10ee0,250637
0x901a1f3d8b7b159da6f5e6ab63ca24cc192d8584,250637
0x7f534820c3931b168b1a46e16f677ae9bc4914b6,250637
0x9a26e2060fb61bab453cc28e0ed3ba5adbd57f1b,250637
0xe30b91a210fec0b914b7b0d041fe4337cc1bee85,250637
0xd54b4a112b684af8ba587acca55559b80ab5642d,250637
0xb1c6300e1086477b5021be2990910eb003a7b984,250637
0xc348cdad55c576efb3c98a5e47ccc3ed94cf4805,250637
0xfed80092e94d6b9d4a33a5b2a2791ecc86036fd0,250637
0x68bab4169bea283ca38a6218bb42a07e690fe453,250637
0x7a7428d466a18fe41f74cbcce0635ad468432f73,250637
0x8cc670369c2131b3a94d78c5c6cd62cfa46dcdaa,250637
0x9a9c9188f02da7cdb663bdddacbfb3eae54d9865,250637
0x7ddb4969d3f97b4f7a3bdae8be7245a3eddeed54,250637
0x915c07c3ca126646c3002da6ce97c5ba9d7f7355,250637
0x96245e3bca44106e4b005dba0470e7a89315dc8f,250637
0x3832ff5f5959be24769a422fc3e8d65bced0eeff,250637
0xfa250715f82451aeaaf55b30e17e0bcc44180858,250637
0x5aa4ad647580bfe86258d300bc9852f4434e2c61,250637
0xecf31664f37a3bc6853d1a3a220ee3ec20868dfa,250637
0xa8bbacfc069462639f7953fabc9748252a77b620,250637
0x08d30293ba70ef702ce933973e5ebfe64e4c8643,250637
0xf7c9de9127b2072e06379646f174fcc05161300c,250637
0x756993dbfa47238c9ecbc8b140f8cbfcc3614ff5,250637
0x0dfc0cc956ce7bda2557609a32c804e3ec335349,250637
0x1be096752aa089feffff99119396fdb75ee9c17d,250637
0xc177c8f04905a64204b440a787fb3199df9b0578,250637
0x5c1917fcc5b8ecdaf8d25ad6e8bc910f8a09159c,250637
0x814ebf9c1f150874d22fee643acfae58a2343e2f,250637
0x07287cf7b26c22725ecdfe77df800637fb2b5163,250637
0xe94157d7de3d62e13a5bda612e057fb4db9e4931,250637
0x52dde33f3462dd01e8f53f793aff732f9afb1f45,250637
0xd1879b0717534ef881e3a82781bda9fa239e2079,250637
0xaeb82e97a8b5ccb07a359dab8f296d285f089f90,250637
0xe21554b07835ede6a55c705f0b8e9e4963b76adf,250637
0x2aade40aeed9b92cd8a51ec493db21db90e3404d,250637
0x60be1c9acb3c210adb8d0014654dcef8278a979a,250637
0xcf3883bea135a77dfe4ad3c9b011b780bc2cab00,250637
0x1cba04178dd69859109e78d48b115b5cba468d9e,250637
0x36dd0310e08149cf5d24f21494e34ba78f5733cd,250637
0x1b4a99268d18dbb67512af13cb052b3fc90de5b5,250637
0x74e4c08bb50619b70550733d32b7e60424e9628e,250637
0xf1fb9dc555dfda2ed1b7c679f69d58c1624b073c,250637
0xc9c75955e312d2b7a9c7be0db737109ad401feb8,250637
0xd145a408ae4e39a38af40f7710fd7716ac186f59,250637
0x3b69defb8a7fd1d9b1d6d5c6412ca8886f2707f9,250637
0x5b3ffa2f005b8ff9e9b5469ded65c0679a1f0c04,250637
0xc0f650db62bcc4ee072e42662a836cbf1875710d,250637
0x9ce5c16e73fda1351372ef8a4324a61e7d8a33c6,250637
0x45467ef0e21dc196875ed12e33349e315fae6bb4,250637
0xf68c22d62ce5fd04f734e3d70f1edfc03ef1ee06,250637
0xb4fe6def4c4a54091b8d5aa85c123bab8f01ca68,250637
0xd6898af5f9a487bee104f3103cd09728fcfa6d4d,250637
0x15aae7a6a3b37701e2e3c85511e000b8df943040,250637
0x78a642a0e6cddeb857a1298eda4b3151fb35ab90,250637
0xe46fc44486c6a874a129a639875b6f16be4efe94,250637
0x83f723d06a557335245a423f1cd984bdbfae9f67,250637
0xbe2ce77814e3da61e5dbfcefe5f7f5a15ef8f2eb,250637
0x1edfebe4676d58a5a2e9bd64fe48b8e17c123716,250637
0x48577451564b3b1e64b557cb3558cae07181e0b8,250637
0xf6ceceef4284c6ef2ab3e04567574e3369b5e32a,250637
0xdeebffe481f21b39a35b0f546ef9f2d6b2c9c0a3,250637
0x1cb7c31bae1ff0bb0fe31867fd000af26ed12429,250637
0x0cddb311bce3bd0e6c822aeee6b0c0913ec0d391,250637
0x14ac965ec22aa6fe8ed0ba6f8719d3b3bb3ba35a,250637
0x8540fbd236d0536170b7fdd6a0845c4bf0882e59,250637
0x32953723b15b8b39a7c76565299a3b3e6f1b6845,250637
0xf994fe62d3028446fda29d72e4b300ffda81807f,250637
0xb89fc9c8f3d6e61b5de8d16de54292e31f96b9fc,250637
0xdbda29d0f66d9307b813e1c8dc7e02c398d1dff9,250637
0x94e4862a7f285f4f720f84088cfa9a7f6c405b86,250637
0x66bf14665518cc70d1605805f61f298b26935ddb,250637
0xb7fef616b8017216232df5e59de7a71bb328a52c,250637
0xbbb6f8a8778e1d3ee39f5882bdc6100c09af0b5f,250637
0x4eb2c56dc750b0ea0e3d7ca5f9b6230bf6df2d10,250637
0x5358daada5c236f4dcf0a3f1f76ff0316386f40a,250637
0xaf9e04cc2c28d416366ee90f32052b2b7f6c71d5,250637
0x7f58d413edd5b5940220c3ef1341439818459a10,250637
0xb313e553b5f231e5ef82e6db4d1096ce9dec96eb,250637
0x98ad17341d1f2bc568e8e41b4bf457a3a45be5d4,250637
0x9f7f72004e3403978f59a3e13947a04ffcf1147e,250637
0xd5f56fe8d3f6344a8b000d6b7f515325cc63417b,250637
0xc8f17e4ba684fc87982baf25abd90dd7936e0a3e,250637
0xa2673717424aa7068c4adc087a30d1bd3330e8ef,250637
0x5eed61eebe9d2edbd7c31960ee4f7fd6ff2386f8,250637
0x1ee43723fe9a88b2df81f81920aaadd9f04cca27,250637
0xf9564e199a2001b1c0336d80619740894f8fc3cd,250637
0x23a3529c9b7a5a1fb839ba0590c6946f0957555c,250637
0x4e8487780d84feebab8aa41d9b5d4d33ab9248f6,250637
0x279cd2b30740afd8802a2fac25dae77e5ce5d6ce,250637
0x8ecb4bef49a9165e15be1476a7f22ae9d4dd778f,250637
0x555c3e5479a34352aee52e11817a712189c5a94e,250637
0x4b6f48dc98f78ac3359c8f0e38b135e2a6a41b8a,250637
0x79cc76364b5fb263a25bd52930e3d9788fcfeea8,250637
0x41f5970e4792d9ad022f0182a58a97f18d3fa019,250637
0x2386dfa4ed427dadd1174fdc7e029ab207f2bff0,250637
0xf77f8d4146c4ddfe65824da3a879b57a0e399593,250637
0x20e3438bb64854c745405b166e96ebda80800723,250637
0xa7a05479119655271aa672db986bae35e88ce5ad,250637
0x16875940e4b2eacb0fda527380b3561d795d1a00,250637
0x558cd3a3d1cb1b7bdfa80d14b013c9c45e83e932,250637
0x9d406b36e42624dab427494815f3eeb1bebc9534,250637
0x48ba20bbf7208615e25635f397be10eafeab243b,250637
0x4ee00a27aed7bd527c130ee24d174521983c3bff,250637
0x6baa667f1bc6cf67471c07aa65cf67362f868eb9,250637
0x7932e40f1f21f140deb4224a38bc8620f76d3429,250637
0xd01cd37110ee7d56a02a1a340352cb8aee3f0724,250637
0x1744eca50e2940e1472e4593dc7b5344941bd7ca,250637
0xced9bf779717834e2fab8a1641bb1bd5a58a5a06,250637
0xb999ca0488f91bbc98b1ee79bb02147ce033eed1,250637
0x3cb876ee6dd2aabdae32041a4e53bcd24446f223,250637
0x1a50d5059d7500c87ceb40b134d3bda3ab1f65df,250637
0x8bf29bd3737a65180e0f67331f88ba9fb9e918af,250637
0xdad376f73a855ff53ff70b6a6881d6efb02c5e3f,250637
0x23b06375087f9e5bc2b3c19f546b3ddea0737292,250637
0xce5c9d78f6032dfa2bc545a35a76acd2dfec5aea,250637
0x48db64d9b9538f5decd1149f3dd3764db5b57147,250637
0x40f7577966e441567666af6d38494d9a3852a85c,250637
0x17e7d377fc5bcf1b82329c121141b6fc71a1c7b6,250637
0xb858a918922611057badb28492737cb78bf890fb,250637
0x0d96f1fee3ccc233411d66ffd68194745300bfd2,250637
0x15eafc29816b34fb8b15dc6727a26de4c4cb2df0,250637
0x48e65404141b7e592f87cbf20684187c70b12c47,250637
0xef9385bd0cde9518884c1092c177e8da86066eca,250637
0x6cd21d5346ea573523c43df9d35dc20ce71944e0,250637
0x7acfe700e94216a30bd448008ae0e9ceb76f745d,250637
0x1cf7ab546aa181cb219c431b97a176ac3cd3c35a,250637
0x8c554be172b99254567ce73cb28975f0f6228770,250637
0x32f24a55224be5b38ed3e17ea5e3d512a6cee5d6,250637
0x8857e7ac5662379c0b0d2b8342f66703d11cebd1,250637
0x7fafebcda0e236d3ccb03beb5e9a3b5dbda083e1,250637
0x8d4cdf0ef5712876fb729cbc38730a1cf86cf75f,250637
0x713388239281bb11ed72a9a449c066a184d1f603,250637
0x5d08943b42ab1af0b2587ddb82236fa459791b13,250637
0xf83a3425973aaed1e47253e67b5ea3c06c91c6cd,250637
0x42080c5d721f3ac91fe10753a4db2d2184346ef2,250637
0x57a89cc351064f901f87cd9bc00a64c29425a6bc,250637
0x3f0c834f54cc40e7fd502284324ec557df242b8f,250637
0x658729879fca881d9526480b82ae00efc54b5c2d,250637
0x8f36aba5659e2a8e055fe94ff72d0407396f18ba,250637
0x9b1b2bf31b6674a5772d245993c3df368b62662e,250637
0x594e887a4e2ac13132c68d09a38b1a211b628ace,250637
0x40e3391c4364f1357b2bc3c857dd77910ebcbd59,250637
0xca5f13c75d44956e5d13b8da5452e7c4d787d572,250637
0x8d8b9c79196f32161bcb2a9728d274b3b45eb9af,250637
0xaa12e2575f0e84d3f873a36440c4f1e2036c3843,250637
0xb3428696c439a25a3240bcb4484c0a8e301d30e3,250637
0xdab85506424396fb090d84b64ad63b770d87c028,250637
0xbe537d4484507254d094931765747974dc364351,250637
0x3b11111361671c68a552087dc3b415d6dcc00d38,250637
0x5e0cd14ce49bcd2ebe0ca53cd5d8759dc48b0b40,250637
0x22882546fc3809fd096a7f72fb26726cec8f6ab6,250637
0x4d67ce8726f8d7bcd87651784e664813fd6b6ac3,250637
0x86c1dba481a5c9f400c109b766ebb921d2398884,250637
0xa83ed63e525fc00235f4ed8d2b8c55294ea3a187,250637
0x7c664a9fe75294394588cc5a150f3d8a906077b4,250637
0x33bbe55602031f544d5140025f03bdd6b2ae4df5,250637
0x512ad48cb5ed82ef5f37c517f116c3ca630efa26,250637
0x3418963bb6e6daf66ce0e12eeae02b10e1936e66,250637
0xc616aa3ad6eeeb9772558c6a49f99f6792d24c12,250637
0x4c06ad24ac6fea9d967c62eafc787fa21f704783,250637
0x29054963d56291f4c76308a511622380a86fcbba,250637
0xf1b98463d6574c998f03e6edf6d7b4e5f917f915,250637
0x59bcb4bf9d7288da345299ec2bfbb88d3447d477,250637
0x2f461cd86394fc91ec95867b8c4aa65035ffa7d8,250637
0x64f1d9ddee7faf9120f69a78137dcedd470e3cda,250637
0x3daf829a2b8b5fb4f25bd62a3f063fb7db2eaaf4,250637
0x084f200847dd39aa4e401868235f4e7e65ef2a38,250637
0x50494e6c88f5f9322830e18456a0fff489284210,250637
0x0b7dc67a6ecf6bc0388409ddde919aafcf0e0ff7,250637
0x4b0f77ac1086a19b9fc52d3bad36a21d6ca9f801,250637
0x18564be77aed882651d2c0c791477bde4a0f8c3d,250637
0xab9f6c2a1c013a8b2ec3915986254a62b296ba1f,250637
0xa15b4f06721ed653384a05a2f7e193385fa49226,250637
0x4470fa02428f9e508fd65bea1063e2ac5b91dfcb,250637
0xd041b9718f6c1f2ba31ee2d59f30b47eb49e8b14,250637
0xaa962b6c81bd0a96904559a7fed14ef921155ddc,250637
0x729df6482aa655bb0bbfd7780bc92a7bcee62178,250637
0x6c5832ae6b8f7ac421fc9448dee04a2c669b600b,250637
0xf7cfd08a6712753938ed8d66128192869264dcef,250637
0x67cbd53c354ad1f28ffb6887557abb6d0f3f2df8,250637
0x6378e82d980ff838abaf563122fce84ebd7fc66c,250637
0xc0e3902ab00dfbfcfec65e64e2a00c891448b945,250637
0x859c73389bf0e12cfe31820ba6db16dd6175c02d,250637
0xa970da33114c841fb8c965feef4697d73d9cab70,250637
0xf095a89cfcb927d6a3b726b97a52f0e82c76204e,250637
