address,amount
0xc58258be9fb1594e2d4f0910da21a61a717a5704,"1,262,626"
0x0ced5c28ee42ccfcaca2fb847387f6c931471aa6,"1,262,626"
0x04eaa449df02c4fe4293de49a488ab47539a1149,"1,262,626"
0x65d88a12f8005105d9fa14f89d2901687d666941,"1,262,626"
0x57138e0d245f42ceab69e1a7aebb87664074c62f,"1,262,626"
0x08bd870eca6a99dfc2aa33f9ad0a99408bc6680f,"1,262,626"
0xb99635d6f4e935b25c7c8092613be9da797cf1ca,"1,262,626"
0x7fb7a91907786fb0dcd71cf63703639cc6d1e0a2,"1,262,626"
0xf86263404da9c47a68a076041355b988edbb959a,"1,262,626"
0x2c2a1d42aa23bde7c18f3f370cc373268ea10ae9,"1,262,626"
0xac83030031a09fe4e929a04ceda0aa9a69ff74c2,"1,262,626"
0x29da412dc7c660834611f4eec9f10a69b0059c2b,"1,262,626"
0x311caf5ce308516154ee47a926531b0c56e7c0b9,"1,262,626"
0x93587d6b90f4b4dcaa6a0073dc462f1d324ac184,"1,262,626"
0x5fdf5fd64aad9de121f3089dc76c2ace1047cd45,"1,262,626"
0x6afbb78a66c19ee2e9019434819eec54c34e2198,"1,262,626"
0xfe93640c57ed15ccae1b2e4d0da1c9768b5c344b,"1,262,626"
0x19c0433884479ed1d3e6de662e679570fae52e25,"1,262,626"
0xd0153616ddd3716e61bba60077261f568f0eb440,"1,262,626"
0xf85679316f1c3998c6387f6f707b31aeeb3a9abe,"1,262,626"
0x3ba5f7b9eef6731e87ceb8364ee9205bb8671906,"1,262,626"
0x3f9116d08d6ac110434969e5e10a78598d261d10,"1,262,626"
0x42a5ef45a045ab091e4e575e96ed28e439ae02d8,"1,262,626"
0x77e018bf4b1c1ba9872d43a9d8c95ff8081c402e,"1,262,626"
0x9dfc56bf281d0df835f0b2bce75e578c2b8d24c0,"1,262,626"
0xed316f6893186d06a71e44510675f97111af9038,"1,262,626"
0xc005800bda365aab99abf42e7e2e8a782855b705,"1,262,626"
0xdb61978d5df8bc79fa7965c52f45179bec9730ff,"1,262,626"
0x388d0acb9284207602c842efb19a36c0b4635e29,"1,262,626"
0x65cbba3c46fe322dc44f9535db8e1da3d99ea2f0,"1,262,626"
0x99a1f0b2b6359673b44b4a9d7a42e6e966c979aa,"1,262,626"
0x404e927b203375779a6abd52a2049ce0adf6609b,"1,262,626"
0x13665b0ffb7cd1d9b8352713bf883df71d246eee,"1,262,626"
0x6fa92dba23fdd9cd973356cf0dad889f8ca0fa12,"1,262,626"
0x41dda7be30130cebd867f439a759b9e7ab2569e9,"1,262,626"
0x4b0d3273b75aa15715be2e36e111f4ca8ab6c9f8,"1,262,626"
0x9eaab25011ecd3924e0d4d7f93f642818abcc5d5,"1,262,626"
0xb26594041fdf03bad00b7426b2b8d1604e472c6a,"1,262,626"
0x4207837d4cd914467eb76bf88c4d6e7ba11ccdf9,"1,262,626"
0xe25ef583666d33f60d12a4944e9a8444ce7afa28,"1,262,626"
0x6b7e47ffc72b5d063c4b26bc1a04d00122356d30,"1,262,626"
0x55bc9d8c00d9854ab6faa10f3a977190a7d42244,"1,262,626"
0x9a82b474090953288f16132ca2a58ed6cb9958d8,"1,262,626"
0x59eb7fbc6ee2089645bd184e37abdea5739fceb2,"1,262,626"
0xfab88853555f2bc605fedd5195b37007a7be3ece,"1,262,626"
0x816c28dc6eae59b4d9c7ddff75aee134eb84e029,"1,262,626"
0x5b73251fdd4d707c6227942dc0e13fe6d7ea364a,"1,262,626"
0xe6216b6afb96c770f252b2cf704343f35cefbe4e,"1,262,626"
